quartier,nb_restau_etoile,nb_etoile,nb_fastfood,score ,cat,nb_restau
75001,12,17,119,28,2,535
75002,8,9,136,31,3,499
75003,0,0,61,28,2,299
75004,3,5,54,36,4,357
75005,6,6,140,43,5,661
75006,7,9,85,45,5,471
75007,14,19,39,42,4,331
75008,28,42,261,24,2,804
75009,3,3,298,18,1,897
75010,1,1,256,18,1,768
75011,4,4,190,42,4,881
75012,2,2,150,18,1,603
75013,0,0,133,18,1,601
75014,2,2,98,39,4,566
75015,3,3,159,34,3,851
75016,13,17,104,35,3,519
75017,4,5,168,43,5,856
75018,3,3,207,35,3,870
75019,0,0,136,14,1,472
75020,0,0,113,26,2,456
